ID,GRIDCODE,ORIG_FID,Join_Count,TARGET_FID,FLD_ZONE,STATIC_BFE,ABFE_0_2Pc,Shape_Leng,Shape_Area
6934,1000,2007,0,0,,0,0,0,0
6984,1300,2020,0,0,,0,0,0,0
6985,1400,2021,0,0,,0,0,0,0
6986,1300,2022,0,0,,0,0,0,0
6998,1000,2023,0,0,,0,0,0,0
7008,900,2024,0,0,,0,0,0,0
7011,1000,2025,0,0,,0,0,0,0
7013,900,2026,0,0,,0,0,0,0
7014,1200,2027,0,0,,0,0,0,0
7015,1300,2028,0,0,,0,0,0,0
7019,900,2029,0,0,,0,0,0,0
7024,800,2030,0,0,,0,0,0,0
7026,1200,2031,0,0,,0,0,0,0
7029,1200,2032,0,0,,0,0,0,0
7030,1000,2033,0,0,,0,0,0,0
7031,1200,2034,0,0,,0,0,0,0
7032,1000,2035,0,0,,0,0,0,0
7039,900,2036,0,0,,0,0,0,0
7041,900,2037,0,0,,0,0,0,0
7047,1000,2038,0,0,,0,0,0,0
7051,1000,2039,0,0,,0,0,0,0
7053,900,2040,0,0,,0,0,0,0
7056,1000,2041,0,0,,0,0,0,0
6939,1500,2008,0,0,,0,0,0,0
6943,1000,2009,0,0,,0,0,0,0
6950,1000,2010,0,0,,0,0,0,0
6953,1000,2011,0,0,,0,0,0,0
6954,1300,2012,0,0,,0,0,0,0
6956,1000,2013,0,0,,0,0,0,0
6963,1000,2014,0,0,,0,0,0,0
6965,1000,2015,0,0,,0,0,0,0
6978,1000,2016,0,0,,0,0,0,0
6981,800,2017,0,0,,0,0,0,0
6982,1200,2018,0,0,,0,0,0,0
6983,1200,2019,0,0,,0,0,0,0
7063,1100,2042,0,0,,0,0,0,0
7064,1000,2043,0,0,,0,0,0,0
7070,1000,2044,0,0,,0,0,0,0
7078,1000,2045,0,0,,0,0,0,0
7082,800,2046,0,0,,0,0,0,0
7083,1000,2047,0,0,,0,0,0,0
7085,1000,2048,0,0,,0,0,0,0
7086,1000,2049,0,0,,0,0,0,0
7089,800,2050,0,0,,0,0,0,0
7090,1600,2051,0,0,,0,0,0,0
7095,1000,2052,0,0,,0,0,0,0
7096,1000,2053,0,0,,0,0,0,0
7104,1000,2054,0,0,,0,0,0,0
7105,1000,2055,0,0,,0,0,0,0
7116,900,2056,0,0,,0,0,0,0
7123,1000,2057,0,0,,0,0,0,0
7126,800,2058,0,0,,0,0,0,0
7132,1100,2059,0,0,,0,0,0,0
7139,1000,2060,0,0,,0,0,0,0
7143,800,2061,0,0,,0,0,0,0
7144,1200,2062,0,0,,0,0,0,0
7147,800,2063,0,0,,0,0,0,0
7148,1200,2064,0,0,,0,0,0,0
7153,1100,2065,0,0,,0,0,0,0
7155,1100,2066,0,0,,0,0,0,0
7175,800,2067,0,0,,0,0,0,0
7180,800,2068,0,0,,0,0,0,0
7181,1200,2069,0,0,,0,0,0,0
7186,1000,2070,0,0,,0,0,0,0
7193,800,2071,0,0,,0,0,0,0
7197,1000,2072,0,0,,0,0,0,0
7198,1000,2073,0,0,,0,0,0,0
7212,1000,2074,0,0,,0,0,0,0
7213,1000,2075,0,0,,0,0,0,0
7218,1000,2076,0,0,,0,0,0,0
7219,1000,2077,0,0,,0,0,0,0
7221,900,2078,0,0,,0,0,0,0
7222,900,2079,0,0,,0,0,0,0
7235,1200,2080,0,0,,0,0,0,0
7236,1100,2081,0,0,,0,0,0,0
7241,1100,2082,0,0,,0,0,0,0
7245,1000,2083,0,0,,0,0,0,0
7246,1300,2084,0,0,,0,0,0,0
7254,1200,2085,0,0,,0,0,0,0
7259,1000,2086,0,0,,0,0,0,0
7265,1000,2087,0,0,,0,0,0,0
7276,1000,2088,0,0,,0,0,0,0
7277,800,2089,0,0,,0,0,0,0
7279,1000,2090,0,0,,0,0,0,0
7280,1000,2091,0,0,,0,0,0,0
7281,800,2092,0,0,,0,0,0,0
7282,800,2093,0,0,,0,0,0,0
7285,800,2094,0,0,,0,0,0,0
7287,1100,2095,0,0,,0,0,0,0
7290,1100,2096,0,0,,0,0,0,0
7291,1000,2097,0,0,,0,0,0,0
7293,1000,2098,0,0,,0,0,0,0
7296,1000,2099,0,0,,0,0,0,0
7300,1000,2100,0,0,,0,0,0,0
7303,800,2101,0,0,,0,0,0,0
7305,1000,2102,0,0,,0,0,0,0
7308,1100,2103,0,0,,0,0,0,0
7310,900,2104,0,0,,0,0,0,0
7311,800,2105,0,0,,0,0,0,0
7316,900,2106,0,0,,0,0,0,0
7318,1200,2107,0,0,,0,0,0,0
7320,1100,2108,0,0,,0,0,0,0
7321,1000,2109,0,0,,0,0,0,0
7322,900,2110,0,0,,0,0,0,0
7323,800,2111,0,0,,0,0,0,0
7324,800,2112,0,0,,0,0,0,0
7329,1000,2113,0,0,,0,0,0,0
7331,1000,2114,0,0,,0,0,0,0
7335,800,2115,0,0,,0,0,0,0
7338,1000,2116,0,0,,0,0,0,0
7339,1000,2117,0,0,,0,0,0,0
7340,1000,2118,0,0,,0,0,0,0
7341,1000,2119,0,0,,0,0,0,0
7344,900,2120,0,0,,0,0,0,0
7349,1000,2121,0,0,,0,0,0,0
7350,900,2122,0,0,,0,0,0,0
7351,900,2123,0,0,,0,0,0,0
7353,800,2124,0,0,,0,0,0,0
7359,1000,2125,0,0,,0,0,0,0
7361,900,2126,0,0,,0,0,0,0
7362,1100,2127,0,0,,0,0,0,0
7452,800,2154,0,0,,0,0,0,0
7363,1200,2128,0,0,,0,0,0,0
7364,1200,2129,0,0,,0,0,0,0
7368,1000,2130,0,0,,0,0,0,0
7370,900,2131,0,0,,0,0,0,0
7374,1000,2132,0,0,,0,0,0,0
7375,1000,2133,0,0,,0,0,0,0
7380,900,2134,0,0,,0,0,0,0
7381,900,2135,0,0,,0,0,0,0
7383,800,2136,0,0,,0,0,0,0
7384,1200,2137,0,0,,0,0,0,0
7385,1500,2138,0,0,,0,0,0,0
7390,1000,2139,0,0,,0,0,0,0
7393,800,2140,0,0,,0,0,0,0
7394,800,2141,0,0,,0,0,0,0
7395,1000,2142,0,0,,0,0,0,0
7402,900,2143,0,0,,0,0,0,0
7416,1000,2144,0,0,,0,0,0,0
7420,800,2145,0,0,,0,0,0,0
7421,1200,2146,0,0,,0,0,0,0
7430,1000,2147,0,0,,0,0,0,0
7431,1100,2148,0,0,,0,0,0,0
7434,900,2149,0,0,,0,0,0,0
7435,900,2150,0,0,,0,0,0,0
7436,800,2151,0,0,,0,0,0,0
7442,1000,2152,0,0,,0,0,0,0
7447,800,2153,0,0,,0,0,0,0
7453,1100,2155,0,0,,0,0,0,0
7455,1000,2156,0,0,,0,0,0,0
7458,1100,2157,0,0,,0,0,0,0
7462,800,2158,0,0,,0,0,0,0
7467,1000,2159,0,0,,0,0,0,0
7469,1000,2160,0,0,,0,0,0,0
7471,1000,2161,0,0,,0,0,0,0
7475,1000,2162,0,0,,0,0,0,0
7479,1000,2163,0,0,,0,0,0,0
7480,1000,2164,0,0,,0,0,0,0
7481,900,2165,0,0,,0,0,0,0
7482,1000,2166,0,0,,0,0,0,0
7484,1300,2167,0,0,,0,0,0,0
7485,1000,2168,0,0,,0,0,0,0
7486,1000,2169,0,0,,0,0,0,0
7489,1000,2170,0,0,,0,0,0,0
7491,1000,2171,0,0,,0,0,0,0
7493,800,2172,0,0,,0,0,0,0
7494,1300,2173,0,0,,0,0,0,0
7495,1300,2174,0,0,,0,0,0,0
7496,1600,2175,0,0,,0,0,0,0
7497,1000,2176,0,0,,0,0,0,0
7498,1100,2177,0,0,,0,0,0,0
7500,1000,2178,0,0,,0,0,0,0
7503,1000,2179,0,0,,0,0,0,0
7504,1000,2180,0,0,,0,0,0,0
7505,1000,2181,0,0,,0,0,0,0
7507,1000,2182,0,0,,0,0,0,0
7512,1000,2183,0,0,,0,0,0,0
7515,1000,2184,0,0,,0,0,0,0
7516,1000,2185,0,0,,0,0,0,0
7517,1100,2186,0,0,,0,0,0,0
7568,1000,2219,0,0,,0,0,0,0
7518,1000,2187,0,0,,0,0,0,0
7521,1300,2188,0,0,,0,0,0,0
7523,1100,2189,0,0,,0,0,0,0
7524,1000,2190,0,0,,0,0,0,0
7526,1000,2191,0,0,,0,0,0,0
7528,1000,2192,0,0,,0,0,0,0
7529,1000,2193,0,0,,0,0,0,0
7530,1000,2194,0,0,,0,0,0,0
7531,1100,2195,0,0,,0,0,0,0
7532,1000,2196,0,0,,0,0,0,0
7533,1000,2197,0,0,,0,0,0,0
7536,1000,2198,0,0,,0,0,0,0
7537,1000,2199,0,0,,0,0,0,0
7539,1300,2200,0,0,,0,0,0,0
7540,1100,2201,0,0,,0,0,0,0
7542,1000,2202,0,0,,0,0,0,0
7543,1000,2203,0,0,,0,0,0,0
7547,900,2204,0,0,,0,0,0,0
7549,1000,2205,0,0,,0,0,0,0
7550,1000,2206,0,0,,0,0,0,0
7551,1000,2207,0,0,,0,0,0,0
7552,1000,2208,0,0,,0,0,0,0
7553,1000,2209,0,0,,0,0,0,0
7554,1300,2210,0,0,,0,0,0,0
7556,1000,2211,0,0,,0,0,0,0
7558,1000,2212,0,0,,0,0,0,0
7559,1000,2213,0,0,,0,0,0,0
7561,1000,2214,0,0,,0,0,0,0
7562,1000,2215,0,0,,0,0,0,0
7563,1000,2216,0,0,,0,0,0,0
7565,1000,2217,0,0,,0,0,0,0
7567,1000,2218,0,0,,0,0,0,0
7569,1000,2220,0,0,,0,0,0,0
7571,1000,2221,0,0,,0,0,0,0
7572,1100,2222,0,0,,0,0,0,0
7573,1500,2223,0,0,,0,0,0,0
7574,1300,2224,0,0,,0,0,0,0
7575,1000,2225,0,0,,0,0,0,0
7576,1000,2226,0,0,,0,0,0,0
7578,1100,2227,0,0,,0,0,0,0
7579,1000,2228,0,0,,0,0,0,0
7580,1000,2229,0,0,,0,0,0,0
7581,1000,2230,0,0,,0,0,0,0
7582,1000,2231,0,0,,0,0,0,0
7587,1300,2232,0,0,,0,0,0,0
7588,1100,2233,0,0,,0,0,0,0
7590,1000,2234,0,0,,0,0,0,0
7593,1000,2235,0,0,,0,0,0,0
7594,1300,2236,0,0,,0,0,0,0
7595,1100,2237,0,0,,0,0,0,0
7596,1000,2238,0,0,,0,0,0,0
7599,1000,2239,0,0,,0,0,0,0
7600,1000,2240,0,0,,0,0,0,0
7601,1500,2241,0,0,,0,0,0,0
7602,1100,2242,0,0,,0,0,0,0
7606,1000,2243,0,0,,0,0,0,0
7607,1000,2244,0,0,,0,0,0,0
7611,1000,2245,0,0,,0,0,0,0
7614,1000,2246,0,0,,0,0,0,0
7615,1000,2247,0,0,,0,0,0,0
7616,1400,2248,0,0,,0,0,0,0
7619,1000,2249,0,0,,0,0,0,0
7620,900,2250,0,0,,0,0,0,0
7621,1000,2251,0,0,,0,0,0,0
7623,1100,2252,0,0,,0,0,0,0
7626,1000,2253,0,0,,0,0,0,0
7629,1000,2254,0,0,,0,0,0,0
7630,1000,2255,0,0,,0,0,0,0
7631,1000,2256,0,0,,0,0,0,0
7635,1000,2257,0,0,,0,0,0,0
7638,1300,2258,0,0,,0,0,0,0
7639,1100,2259,0,0,,0,0,0,0
7640,1000,2260,0,0,,0,0,0,0
7648,1100,2261,0,0,,0,0,0,0
7649,1100,2262,0,0,,0,0,0,0
7650,1000,2263,0,0,,0,0,0,0
7657,1000,2264,0,0,,0,0,0,0
7658,1000,2265,0,0,,0,0,0,0
7663,1000,2266,0,0,,0,0,0,0
7664,1400,2267,0,0,,0,0,0,0
7665,2000,2268,0,0,,0,0,0,0
7669,1300,2269,0,0,,0,0,0,0
7670,1000,2270,0,0,,0,0,0,0
7677,1300,2271,0,0,,0,0,0,0
7678,1100,2272,0,0,,0,0,0,0
7683,1000,2273,0,0,,0,0,0,0
7685,1000,2274,0,0,,0,0,0,0
7686,1000,2275,0,0,,0,0,0,0
7688,1000,2276,0,0,,0,0,0,0
7691,1000,2277,0,0,,0,0,0,0
7693,1300,2278,0,0,,0,0,0,0
7700,1000,2279,0,0,,0,0,0,0
7701,1000,2280,0,0,,0,0,0,0
7709,1000,2281,0,0,,0,0,0,0
7710,900,2282,0,0,,0,0,0,0
7711,1000,2283,0,0,,0,0,0,0
7712,1000,2284,0,0,,0,0,0,0
7714,900,2285,0,0,,0,0,0,0
7715,1000,2286,0,0,,0,0,0,0
7716,1200,2287,0,0,,0,0,0,0
7717,1100,2288,0,0,,0,0,0,0
7718,1200,2289,0,0,,0,0,0,0
7719,1000,2290,0,0,,0,0,0,0
7730,900,2291,0,0,,0,0,0,0
7732,1000,2292,0,0,,0,0,0,0
7736,900,2293,0,0,,0,0,0,0
7737,2000,2294,0,0,,0,0,0,0
7738,1200,2295,0,0,,0,0,0,0
7743,1200,2296,0,0,,0,0,0,0
7744,1600,2297,0,0,,0,0,0,0
7748,900,2298,0,0,,0,0,0,0
7756,900,2299,0,0,,0,0,0,0
7757,800,2300,0,0,,0,0,0,0
